Viz_Date,Sex,AgeGroup,Dose,Viz_ages,NumberVaccinated,Viz_DateMMYY
01/01/2021,Total,82 to 100,Dose 1,100,1,Jan
02/01/2021,Total,82 to 100,Dose 1,100,1,Jan
03/01/2021,Total,82 to 100,Dose 1,100,1,Jan
04/01/2021,Total,82 to 100,Dose 1,100,1,Jan
05/01/2021,Total,82 to 100,Dose 1,100,1,Jan
06/01/2021,Total,82 to 100,Dose 1,100,1,Jan
07/01/2021,Total,82 to 100,Dose 1,100,1,Jan
08/01/2021,Total,82 to 100,Dose 1,100,1,Jan
09/01/2021,Total,82 to 100,Dose 1,100,1,Jan
10/01/2021,Total,82 to 100,Dose 1,100,1,Jan
11/01/2021,Total,82 to 100,Dose 1,100,1,Jan
12/01/2021,Total,82 to 100,Dose 1,100,1,Jan
13/01/2021,Total,82 to 100,Dose 1,100,1,Jan
14/01/2021,Total,82 to 100,Dose 1,100,1,Jan
15/01/2021,Total,82 to 100,Dose 1,100,1,Jan
16/01/2021,Total,82 to 100,Dose 1,100,1,Jan
17/01/2021,Total,82 to 100,Dose 1,100,1,Jan
18/01/2021,Total,82 to 100,Dose 1,100,1,Jan
19/01/2021,Total,82 to 100,Dose 1,100,1,Jan
20/01/2021,Total,82 to 100,Dose 1,100,1,Jan
21/01/2021,Total,82 to 100,Dose 1,100,1,Jan
22/01/2021,Total,82 to 100,Dose 1,100,1,Jan
23/01/2021,Total,82 to 100,Dose 1,100,1,Jan
24/01/2021,Total,82 to 100,Dose 1,100,1,Jan
25/01/2021,Total,82 to 100,Dose 1,100,1,Jan
26/01/2021,Total,82 to 100,Dose 1,100,1,Jan
27/01/2021,Total,82 to 100,Dose 1,100,1,Jan
28/01/2021,Total,82 to 100,Dose 1,100,1,Jan
29/01/2021,Total,82 to 100,Dose 1,100,1,Jan
30/01/2021,Total,82 to 100,Dose 1,100,1,Jan
31/01/2021,Total,82 to 100,Dose 1,100,1,Jan
01/02/2021,Total,82 to 100,Dose 1,100,1,Feb
02/02/2021,Total,82 to 100,Dose 1,100,1,Feb
03/02/2021,Total,82 to 100,Dose 1,100,1,Feb
04/02/2021,Total,82 to 100,Dose 1,100,1,Feb
05/02/2021,Total,82 to 100,Dose 1,100,1,Feb
06/02/2021,Total,82 to 100,Dose 1,100,1,Feb
07/02/2021,Total,82 to 100,Dose 1,100,1,Feb
08/02/2021,Total,82 to 100,Dose 1,100,1,Feb
09/02/2021,Total,82 to 100,Dose 1,100,1,Feb
10/02/2021,Total,82 to 100,Dose 1,100,1,Feb
11/02/2021,Total,82 to 100,Dose 1,100,1,Feb
12/02/2021,Total,82 to 100,Dose 1,100,1,Feb
13/02/2021,Total,82 to 100,Dose 1,100,1,Feb
14/02/2021,Total,82 to 100,Dose 1,100,1,Feb
15/02/2021,Total,82 to 100,Dose 1,100,1,Feb
16/02/2021,Total,82 to 100,Dose 1,100,1,Feb
17/02/2021,Total,82 to 100,Dose 1,100,1,Feb
18/02/2021,Total,82 to 100,Dose 1,100,1,Feb
19/02/2021,Total,82 to 100,Dose 1,100,1,Feb
20/02/2021,Total,82 to 100,Dose 1,100,1,Feb
21/02/2021,Total,82 to 100,Dose 1,100,1,Feb
22/02/2021,Total,82 to 100,Dose 1,100,1,Feb
23/02/2021,Total,82 to 100,Dose 1,100,1,Feb
24/02/2021,Total,82 to 100,Dose 1,100,1,Feb
25/02/2021,Total,82 to 100,Dose 1,100,1,Feb
26/02/2021,Total,82 to 100,Dose 1,100,1,Feb
27/02/2021,Total,82 to 100,Dose 1,100,1,Feb
28/02/2021,Total,82 to 100,Dose 1,100,1,Feb
01/03/2021,Total,82 to 100,Dose 1,100,1,Mar
02/03/2021,Total,82 to 100,Dose 1,100,1,Mar
03/03/2021,Total,82 to 100,Dose 1,100,1,Mar
04/03/2021,Total,82 to 100,Dose 1,100,1,Mar
05/03/2021,Total,82 to 100,Dose 1,100,1,Mar
06/03/2021,Total,82 to 100,Dose 1,100,1,Mar
07/03/2021,Total,82 to 100,Dose 1,100,1,Mar
08/03/2021,Total,82 to 100,Dose 1,100,1,Mar
09/03/2021,Total,82 to 100,Dose 1,100,1,Mar
10/03/2021,Total,82 to 100,Dose 1,100,1,Mar
11/03/2021,Total,82 to 100,Dose 1,100,1,Mar
12/03/2021,Total,82 to 100,Dose 1,100,1,Mar
13/03/2021,Total,82 to 100,Dose 1,100,1,Mar
14/03/2021,Total,82 to 100,Dose 1,100,1,Mar
15/03/2021,Total,82 to 100,Dose 1,100,1,Mar
16/03/2021,Total,82 to 100,Dose 1,100,1,Mar
17/03/2021,Total,82 to 100,Dose 1,100,1,Mar
18/03/2021,Total,82 to 100,Dose 1,100,1,Mar
19/03/2021,Total,82 to 100,Dose 1,100,1,Mar
20/03/2021,Total,82 to 100,Dose 1,100,1,Mar
21/03/2021,Total,82 to 100,Dose 1,100,1,Mar
22/03/2021,Total,82 to 100,Dose 1,100,1,Mar
23/03/2021,Total,82 to 100,Dose 1,100,1,Mar
24/03/2021,Total,82 to 100,Dose 1,100,1,Mar
25/03/2021,Total,82 to 100,Dose 1,100,1,Mar
26/03/2021,Total,82 to 100,Dose 1,100,1,Mar
27/03/2021,Total,82 to 100,Dose 1,100,1,Mar
28/03/2021,Total,82 to 100,Dose 1,100,1,Mar
29/03/2021,Total,82 to 100,Dose 1,100,1,Mar
30/03/2021,Total,82 to 100,Dose 1,100,1,Mar
31/03/2021,Total,82 to 100,Dose 1,100,1,Mar
01/04/2021,Total,82 to 100,Dose 1,100,1,Apr
02/04/2021,Total,82 to 100,Dose 1,100,1,Apr
03/04/2021,Total,82 to 100,Dose 1,100,1,Apr
04/04/2021,Total,82 to 100,Dose 1,100,1,Apr
05/04/2021,Total,82 to 100,Dose 1,100,1,Apr
06/04/2021,Total,82 to 100,Dose 1,100,1,Apr
07/04/2021,Total,82 to 100,Dose 1,100,1,Apr
08/04/2021,Total,82 to 100,Dose 1,100,1,Apr
09/04/2021,Total,82 to 100,Dose 1,100,1,Apr
10/04/2021,Total,82 to 100,Dose 1,100,1,Apr
11/04/2021,Total,82 to 100,Dose 1,100,1,Apr
12/04/2021,Total,82 to 100,Dose 1,100,1,Apr
13/04/2021,Total,82 to 100,Dose 1,100,1,Apr
14/04/2021,Total,82 to 100,Dose 1,100,1,Apr
15/04/2021,Total,82 to 100,Dose 1,100,1,Apr
16/04/2021,Total,82 to 100,Dose 1,100,1,Apr
17/04/2021,Total,82 to 100,Dose 1,100,1,Apr
18/04/2021,Total,82 to 100,Dose 1,100,1,Apr
19/04/2021,Total,82 to 100,Dose 1,100,1,Apr
20/04/2021,Total,82 to 100,Dose 1,100,1,Apr
21/04/2021,Total,82 to 100,Dose 1,100,1,Apr
22/04/2021,Total,82 to 100,Dose 1,100,1,Apr
23/04/2021,Total,82 to 100,Dose 1,100,1,Apr
24/04/2021,Total,82 to 100,Dose 1,100,1,Apr
25/04/2021,Total,82 to 100,Dose 1,100,1,Apr
26/04/2021,Total,82 to 100,Dose 1,100,1,Apr
27/04/2021,Total,82 to 100,Dose 1,100,1,Apr
